Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,140.470001,140.470001,134.669998,136.539993,135.346680,325200
2021-03-05,138.419998,140.899994,135.940002,140.270004,139.044083,439100
2021-03-08,141.729996,147.330002,140.520004,146.660004,145.378235,424700
2021-03-09,146.250000,147.119995,142.619995,146.000000,144.723999,452100
2021-03-10,146.259995,149.679993,144.610001,148.740005,147.440063,372400
2021-03-11,149.839996,151.270004,148.559998,151.070007,150.445587,408800
2021-03-12,152.020004,154.089996,150.809998,152.830002,152.198303,427200
2021-03-15,153.059998,153.059998,150.169998,152.350006,151.720291,346600
2021-03-16,152.580002,152.910004,149.470001,149.970001,149.350128,339100
2021-03-17,149.570007,152.289993,148.029999,149.929993,149.310287,403700
2021-03-18,150.539993,153.750000,148.429993,149.350006,148.732697,594300
2021-03-19,149.740005,150.259995,145.460007,148.779999,148.165039,1279600
2021-03-22,147.929993,148.479996,145.729996,145.910004,145.306900,382600
2021-03-23,144.300003,145.059998,140.589996,141.410004,140.825500,583900
2021-03-24,143.529999,146.720001,142.179993,142.399994,141.811401,281100
2021-03-25,140.979996,147.389999,140.399994,146.720001,146.113556,326400
2021-03-26,148.169998,155.720001,148.169998,155.619995,154.976761,478400
2021-03-29,154.619995,158.630005,150.520004,150.800003,150.176697,533200
2021-03-30,150.660004,152.490005,149.160004,151.250000,150.624832,341100
2021-03-31,152.779999,154.229996,150.669998,152.289993,151.660522,543400
2021-04-01,152.050003,156.020004,150.699997,155.649994,155.006638,409700
2021-04-05,158.119995,159.020004,156.000000,156.949997,156.301270,365300
2021-04-06,156.789993,158.000000,153.729996,154.860001,154.219910,457200
2021-04-07,155.440002,156.050003,153.529999,154.529999,153.891266,277200
2021-04-08,153.960007,154.839996,151.860001,154.279999,153.642303,373200
2021-04-09,153.889999,156.259995,153.600006,154.259995,153.622391,355600
2021-04-12,155.139999,157.070007,154.690002,156.589996,155.942749,254400
2021-04-13,156.550003,156.710007,152.649994,154.300003,153.662231,246500
2021-04-14,155.309998,157.940002,154.809998,155.539993,154.897095,307800
2021-04-15,156.710007,156.710007,154.160004,155.089996,154.448959,292500
2021-04-16,157.309998,157.449997,154.940002,156.009995,155.365158,298700
2021-04-19,155.500000,156.869995,153.279999,155.300003,154.658096,281700
2021-04-20,155.809998,156.000000,152.100006,152.850006,152.218231,343300
2021-04-21,151.949997,155.800003,151.350006,155.119995,154.478836,393300
2021-04-22,158.080002,158.179993,152.399994,155.160004,154.518677,335900
2021-04-23,156.649994,158.160004,155.410004,157.490005,156.839050,294200
2021-04-26,158.839996,160.880005,158.410004,159.809998,159.149445,586800
2021-04-27,159.110001,160.300003,157.509995,160.020004,159.358582,335900
2021-04-28,159.490005,163.210007,159.229996,162.119995,161.449890,268700
2021-04-29,163.339996,164.919998,160.479996,163.619995,162.943695,453500
2021-04-30,161.320007,163.610001,159.919998,160.309998,159.647385,332200
2021-05-03,163.050003,165.839996,162.080002,164.550003,163.869858,302400
2021-05-04,163.699997,169.839996,163.699997,168.850006,168.152084,375800
2021-05-05,169.839996,172.220001,167.509995,171.300003,170.591965,388200
2021-05-06,172.529999,175.000000,170.360001,174.990005,174.266708,351400
2021-05-07,175.490005,177.820007,171.809998,177.240005,176.507416,289800
2021-05-10,180.139999,181.210007,175.309998,175.679993,174.953842,508300
2021-05-11,173.339996,177.529999,172.619995,176.479996,175.750549,481900
2021-05-12,175.830002,176.509995,166.449997,167.830002,167.136307,489200
2021-05-13,168.720001,174.380005,168.240005,172.440002,171.727249,433100
2021-05-14,173.190002,173.699997,169.600006,170.559998,169.855011,473500
2021-05-17,170.449997,171.250000,166.990005,170.600006,169.894852,545400
2021-05-18,170.570007,171.610001,167.660004,167.809998,167.116379,306800
2021-05-19,164.679993,166.649994,161.369995,166.389999,165.702255,362200
2021-05-20,165.490005,166.679993,163.710007,165.589996,164.905563,422300
2021-05-21,167.529999,168.600006,164.460007,165.929993,165.244141,453300
2021-05-24,166.509995,169.429993,164.889999,168.250000,167.554565,357900
2021-05-25,168.669998,169.610001,165.059998,165.240005,164.557007,389200
2021-05-26,165.009995,166.690002,164.479996,166.449997,165.762009,365600
2021-05-27,169.339996,170.399994,168.039993,168.309998,168.309998,425700
2021-05-28,167.570007,168.419998,165.559998,168.070007,168.070007,191600
2021-06-01,170.429993,172.520004,169.380005,172.380005,172.380005,367400
2021-06-02,172.860001,172.860001,167.800003,169.050003,169.050003,326700
2021-06-03,168.300003,169.899994,166.160004,169.479996,169.479996,478400
2021-06-04,170.500000,171.740005,168.500000,170.449997,170.449997,231400
2021-06-07,169.740005,169.910004,165.419998,167.509995,167.509995,280400
2021-06-08,167.350006,174.419998,167.210007,173.710007,173.710007,449400
2021-06-09,172.759995,174.300003,171.820007,173.259995,173.259995,409900
2021-06-10,175.759995,175.759995,172.029999,172.759995,172.759995,446700
2021-06-11,174.000000,175.000000,171.630005,173.270004,173.270004,206200
2021-06-14,172.610001,172.610001,166.199997,167.350006,167.350006,374500
2021-06-15,166.789993,166.929993,163.479996,165.490005,165.490005,447400
2021-06-16,165.610001,165.610001,161.259995,162.210007,162.210007,514000
2021-06-17,162.059998,162.059998,153.429993,154.740005,154.740005,512800
2021-06-18,150.529999,154.059998,149.789993,150.059998,150.059998,803300
2021-06-21,152.100006,154.039993,151.039993,153.500000,153.500000,539700
2021-06-22,153.229996,153.229996,150.479996,150.770004,150.770004,461100
2021-06-23,151.740005,154.300003,151.039993,151.179993,151.179993,341500
2021-06-24,152.160004,154.580002,150.710007,152.910004,152.910004,317800
2021-06-25,154.110001,154.990005,152.809998,153.279999,153.279999,619900
2021-06-28,153.429993,153.649994,148.100006,148.740005,148.740005,405200
2021-06-29,149.750000,151.970001,148.300003,148.750000,148.750000,390500
2021-06-30,147.850006,151.610001,147.850006,150.899994,150.899994,322900
2021-07-01,152.619995,153.649994,150.210007,152.919998,152.919998,310200
2021-07-02,153.429993,153.979996,151.800003,152.440002,152.440002,293900
2021-07-06,151.570007,152.160004,147.979996,148.929993,148.929993,354500
2021-07-07,149.100006,151.880005,149.100006,150.789993,150.789993,326500
2021-07-08,148.130005,150.779999,146.660004,148.399994,148.399994,264400
2021-07-09,151.179993,152.750000,150.710007,151.690002,151.690002,275300
2021-07-12,149.949997,153.240005,148.910004,152.750000,152.750000,306100
2021-07-13,151.470001,151.970001,149.570007,150.240005,150.240005,174600
2021-07-14,151.690002,152.470001,149.029999,149.919998,149.919998,240500
2021-07-15,149.369995,153.309998,149.369995,151.009995,151.009995,209400
2021-07-16,151.149994,151.860001,148.220001,148.440002,148.440002,359000
2021-07-19,146.000000,146.000000,143.119995,144.669998,144.669998,520600
2021-07-20,144.169998,149.720001,143.580002,148.759995,148.759995,411700
2021-07-21,150.690002,152.389999,150.210007,150.839996,150.839996,331200
2021-07-22,149.410004,150.809998,146.300003,149.979996,149.979996,379700
2021-07-23,151.339996,151.839996,149.470001,151.309998,151.309998,337000
2021-07-26,155.130005,157.000000,153.699997,153.759995,153.759995,398600
2021-07-27,153.389999,154.339996,151.169998,153.270004,153.270004,324500
2021-07-28,154.039993,154.089996,150.809998,153.509995,153.509995,202100
2021-07-29,155.190002,159.440002,154.470001,158.740005,158.740005,283400
